x,y,Topic,Length
6.3753915,3.9405541,1,580
6.9113874,3.9553576,1,322
8.201064,4.210788,8,618
1.7119503,2.8565602,2,784
8.510923,1.9836357,11,1258
1.5432163,2.908277,2,921
6.919314,3.8511863,1,773
0.32429233,5.742562,4,702
2.1095233,6.7681103,4,916
0.9039592,6.8964853,4,535
7.3954525,2.7377539,41,691
3.1673028,6.5339346,4,1116
6.485882,3.9992793,1,538
1.6920701,2.8775256,2,322
5.335677,9.450113,6,353
7.3384323,3.8162696,1,919
3.4691048,3.546469,23,517
6.4143677,3.4097774,1,1573
1.9043975,2.5995946,2,565
7.3118005,3.469288,1,797
5.0741916,2.933108,17,1192
0.99419254,2.7588108,2,290
6.3981,3.8645737,1,891
1.4794788,6.781244,4,611
6.4467716,3.8607326,1,940
1.4806846,7.378095,4,504
6.715413,3.803696,1,521
0.9294409,9.001829,43,1052
6.058372,-0.968456,20,2117
0.9463062,8.977843,43,446
7.541208,3.5112262,1,428
4.639038,4.8764687,38,354
9.509997,-2.5372527,16,868
5.701064,4.175402,1,526
6.174867,3.924126,1,735
4.54014,4.888398,38,419
4.566639,4.8798485,38,541
1.6982071,2.9013002,2,416
1.6452893,2.8827925,2,1269
2.3086324,2.712146,2,774
5.3757434,2.5937104,17,427
7.251823,3.6659067,1,1244
6.224761,3.4241197,1,1355
8.15212,2.0201266,11,325
6.329856,3.9109585,1,949
4.6762123,4.9591994,38,712
1.1841438,7.178831,4,540
5.396865,9.531616,6,3138
7.26857,3.62786,1,533
7.150491,3.4085128,1,491
4.1048503,4.8315716,58,1529
4.9637933,4.5536485,1,933
1.4591954,9.852662,16,949
3.9189684,4.726006,4,637
-0.44683632,7.968244,35,375
8.12406,4.152334,8,671
7.5877886,4.2820015,1,912
8.697262,-2.6778023,4,332
1.6563083,2.8884702,2,1257
3.042003,-0.54576904,0,408
6.794853,3.8913765,1,629
8.218273,2.1697738,11,1049
2.746689,6.9211855,4,394
1.5775028,2.8630135,2,1304
7.060285,5.7837243,46,1246
7.386471,3.5340319,1,1173
3.0594223,-0.5276389,0,510
1.5146308,2.9933887,2,717
5.204916,2.539728,17,429
0.7355337,2.761253,2,888
7.358571,3.5969176,1,358
1.413503,6.9783316,4,376
6.276267,4.1918235,1,558
9.362117,6.3226485,3,1024
6.5205884,2.5244863,1,829
4.5519943,4.947032,38,737
7.609826,3.418978,1,485
1.7082483,2.9093368,2,1339
-0.34455112,9.424214,27,1353
1.1827667,2.9023914,2,2013
5.3379908,9.437878,6,1278
-0.40763193,9.855531,27,635
4.5561647,-0.49683186,0,674
2.1014507,6.825819,4,1571
9.308723,5.8187914,3,1120
0.945399,9.0024805,43,1041
7.2782373,3.4070792,1,653
6.4794044,3.5038629,1,385
7.086992,-4.591104,5,604
2.8529484,6.2470093,54,530
7.5903187,4.278123,1,289
6.8053164,4.158522,1,472
8.526639,2.0083728,11,452
4.56062,5.0093427,38,914
1.1424729,8.510329,43,336
1.8847322,7.2650385,4,684
7.242676,3.540224,1,449
7.5130715,3.5123158,1,526
-0.38784084,9.707713,27,503
9.266335,6.2533393,3,1151
6.3097067,3.9425626,1,811
4.4994106,-0.51109654,0,644
7.417976,1.7788367,11,738
3.7210488,-0.44005722,0,1401
2.0140586,7.0803175,4,844
7.335159,3.380868,1,479
2.9257822,5.4320126,10,1131
4.5242863,-0.48008698,0,741
3.7811086,4.317958,55,367
6.303937,3.9135475,1,958
2.2620473,6.911372,4,1176
7.5479016,3.833004,1,886
1.7349005,8.334562,28,1460
2.1960902,6.756859,4,863
9.313564,6.165987,3,540
1.8161137,3.0597136,2,556
4.498283,0.10058215,0,898
-0.33883607,9.2670555,27,809
5.222709,2.5910912,17,388
5.3563647,2.3260112,17,900
-1.649183,9.387498,19,939
1.892041,2.8105927,2,621
-0.3991503,9.850649,27,542
4.0521564,3.34473,23,703
1.6357442,2.8146412,2,930
0.89382553,6.60928,4,310
0.9524945,6.833567,4,823
1.2227072,6.7014523,4,1179
9.236069,5.776726,3,678
2.6305962,6.3675222,54,726
3.3432229,5.44006,14,417
-1.5999264,9.411891,19,860
7.0934453,-4.5799837,5,350
9.430025,6.0531917,3,1011
5.693407,1.5577881,31,607
6.1221633,-1.3193902,20,1096
4.0439878,0.18641408,0,961
3.44783,3.5899282,23,854
4.958361,9.397198,6,1185
6.9481254,3.7952332,1,405
7.5097437,3.5551615,1,784
6.752313,3.7289932,1,526
6.456257,4.202278,1,1215
-1.7693183,9.557159,19,969
2.7491236,6.1196437,54,1035
1.571926,2.8509808,2,792
7.3346877,3.5054207,1,1067
4.187161,4.6299524,58,887
1.2812092,6.8480883,4,188
2.1974962,6.7409005,4,535
3.861642,4.3093944,55,184
6.14643,3.6964958,1,1106
7.2522078,3.5897377,1,893
2.6958969,6.090991,54,445
1.2513609,5.8306355,44,615
2.2392802,-3.5895433,12,1291
1.2766614,5.829763,44,858
0.87415916,6.829279,4,1202
7.41657,3.563926,1,390
9.443385,5.915147,3,733
7.4780803,3.5659907,1,682
2.624095,6.5636754,4,478
2.4837809,-0.5390998,0,1027
7.502478,3.8061693,1,1122
2.2035828,6.755136,4,286
9.339225,6.0018415,3,667
